AssessmentUnitID,WaterbodyName,Type,RiverBasin,County,Uses,Causes,Sources,Size,UnitType,DownstreamUpstreamLocations,YearListed,Priority,ReportYear,DraftTMDLDate,DateofData,SupportStatus,1996303(d)?
AL03140203-0201-100,Wrights Creek,R,Choctawhatchee,Geneva,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,8.96,miles,AL-FL state line /its source,2016,L,2018,,,,
AL03150105-1002-102,Coosa River(Weiss Lake),L,Coosa,Cherokee,SwimmingFish & Wildlife,Pathogens (E. coli),Sources outside state,6567.86,acres,Spring Creek /AL-GA state line,2016,L,2018,,,,
AL03150106-0803-100,Coosa River(Logan Martin Lake),L,Coosa,St. ClairTalladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,10945.46,acres,Logan Martin Dam /Broken Arrow Creek,1998,*,2018,,,,
AL03150106-0603-111,Coosa River(Logan Martin Lake),L,Coosa,CalhounSt. Clair Talladega,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,1449.31,acres,Broken Arrow Creek / Trout Creek,1998,*,2018,,,,
AL03150106-0603-112,Coosa River(Logan Martin Lake),L,Coosa,St. ClairCalhoun,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,783.90,acres,Trout Creek /Neely Henry Dam,1998,*,2018,,,,
AL03150106-0802-111,Clear Creek(Logan Martin Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,624.28,acres,Coosa River /end of embayment,1998,*,2018,,,,
AL03150106-0803-311,Easonville Creek(Logan Martin Lake),L,Coosa,St. Clair,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,1260.19,acres,Coosa River /end of embayment,1998,*,2018,,,,
AL03150106-0514-111,Choccolocco Creek(Logan Martin Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,1125.61,acres,Coosa River /end of embayment,2014,*,2018,,,,
AL03150106-0605-211,Dye Creek(Logan Martin Lake),L,Coosa,St. Clair,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,144.97,acres,Coosa River /end of embayment,1998,*,2018,,,,
AL03150106-0604-111,Blue Eye Creek(Logan Martin Lake),L,Coosa,St. Clair,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,305.45,acres,Coosa River /end of embayment,1998,*,2018,,,,
AL03150106-0408-111,Cane Creek(Logan Martin Lake),L,Coosa,Calhoun,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,35.96,acres,Coosa River /end of embayment,1998,*,2018,,,,
AL03150106-0108-111,Big Wills Creek (Neely Henry Lake),L,Coosa,Etowah,Fish & Wildlife,Nutrients,Agriculture IndustrialMunicipal,514.85,acres,US Hwy 411 /  end of embayment,2018,L,2018,,,,
AL03150106-0107-111,Black Creek(Neely Henry Lake),L,Coosa,Etowah,Fish & Wildlife,Nutrients,AgricultureUrban runoff/storm sewers,348.36,acres,US Highway 411 /end of embayment,2018,L,2018,,,,
AL03150106-0108-102,Big Wills Creek,R,Coosa,Etowah,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,24.76,miles,Neely Henry Lake /Little Sand Valley Creek,2018,L,2018,,,,
AL03150106-0103-100,Big Wills Creek,R,Coosa,Etowah DeKalb,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,51.63,miles,Little Sand Valley Creek /  100 yards below Allen Branch,2018,L,2018,,,,
AL03150106-0408-100,Cane Creek,R,Coosa,Calhoun,Fish & Wildlife,Pathogens (E. coli),Animal feeding operations Collection system failurePasture grazing,30.68,miles,Logan Martin Lake / its source,2018,L,2018,,,,
AL03150106-0602-100,Broken Arrow Creek,R,Coosa,St. Clair,Fish & Wildlife,Siltation,AgriculturePasture grazing,21.37,miles,Coosa River /its source,2010,L,2018,,,,
AL03150106-0514-100,Choccolocco Creek,R,Coosa,CalhounTalladega,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,33.03,miles,Logan Martin Lake /UT from Boiling Spring,2018,L,2018,,,,
AL03150106-0514-100,Choccolocco Creek,R,Coosa,CalhounTalladega,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,33.03,miles,Logan Martin Lake /UT from Boiling Spring,2010,L,2018,,,,
AL03150106-0514-100,Choccolocco Creek,R,Coosa,CalhounTalladega,Fish & Wildlife,Priority Organics (PCBs),Contaminated sediments,33.03,miles,Logan Martin Lake /UT from Boiling Spring,1996,*,2018,,,,
AL03150106-0507-102,Choccolocco Creek,R,Coosa,Calhoun,Public Water SupplyFish & Wildlife,Metals (Mercury),Atmospheric deposition,2.37,miles,UT from Boiling Spring /Hillabee Creek,2010,L,2018,,,,
AL03150106-0507-102,Choccolocco Creek,R,Coosa,Calhoun,Public Water SupplyFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,2.37,miles,UT from Boiling Spring /Hillabee Creek,1996,*,2018,,,,
AL03150106-0806-100,Wolf Creek,R,Coosa,ShelbySt. Clair,Fish & Wildlife,Siltation,Surface miningUrban development,16.70,miles,Kelly Creek /its source,2010,L,2018,,,,
AL03150106-0806-100,Wolf Creek,R,Coosa,ShelbySt. Clair,Fish & Wildlife,Turbidity,Surface miningUrban development,16.70,miles,Kelly Creek /its source,2010,L,2018,,,,
AL03150106-0808-100,Kelly Creek,R,Coosa,ShelbySt. Clair,SwimmingFish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,33.58,miles,Lay Lake /its source,2018,L,2018,,,,
AL03150107-0106-100,Tallaseehatchee Creek,R,Coosa,Talladega,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,16.74,miles,Lay Lake /Howard dam,2018,L,2018,,,,
AL03150107-0106-100,Tallaseehatchee Creek,R,Coosa,Talladega,Fish & Wildlife,Total Dissolved Solids,IndustrialMunicipal,16.74,miles,Lay Lake /Howard dam,2010,H,2018,,,,
AL03150107-0104-100,Shirtee Creek,R,Coosa,Talladega,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,4.67,miles,Tallaseehatchee Creek /its source,2018,L,2018,,,,
AL03150107-0104-100,Shirtee Creek,R,Coosa,Talladega,Fish & Wildlife,Total Dissolved Solids,IndustrialMunicipal,4.67,miles,Tallaseehatchee Creek /its source,2010,H,2018,,,,
AL03150107-0203-100,Weewoka Creek,R,Coosa,Talladega,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,18.32,miles,Tallaseehatchee Creek /its source,2018,L,2018,,,,
AL03150107-0503-110,Coosa River (Lay Lake),L,Coosa,Chilton Coosa ShelbyTalladega,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,10559.35,acres,Lay Dam /Southern RR Bridge,1996,*,2018,,,,
AL03150107-0301-102,Coosa River(Lay Lake),L,Coosa,ShelbyTalladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,803.88,acres,Southern RR Bridge /River Mile 89,1996,*,2018,,,,
AL03150107-0301-102,Coosa River(Lay Lake),L,Coosa,ShelbyTalladega,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,803.88,acres,Southern RR Bridge /River Mile 89,2010,L,2018,,,,
AL03150106-0810-102,Coosa River (Lay Lake),L,Coosa,Shelby St. ClairTalladega,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,698.04,acres,River Mile 89 / Logan Martin Dam,1996,*,2018,,,,
AL03150106-0810-102,Coosa River (Lay Lake),L,Coosa,Shelby St. ClairTalladega,Public Water Supply SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,698.04,acres,River Mile 89 / Logan Martin Dam,2010,L,2018,,,,
AL03150107-0406-111,Waxahatchee Creek (Lay Lake),L,Coosa,Chilton Shelby,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,770.68,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150107-0501-111,Peckerwood Creek (Lay Lake),L,Coosa,Coosa Talladega,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,165.92,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150107-0304-111,Dry Branch (Lay Lake),L,Coosa,Shelby,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,112.04,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150107-0205-111,Yellowleaf Creek (Lay Lake),L,Coosa,Shelby,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,178.73,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150107-0106-111,Tallaseehatchee Creek(Lay Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,13.46,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150107-0106-111,Tallaseehatchee Creek(Lay Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,13.46,acres,Coosa River /end of embayment,2010,L,2018,,,,
AL03150106-0703-111,Talladega Creek(Lay Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,60.66,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150106-0703-111,Talladega Creek(Lay Lake),L,Coosa,Talladega,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,60.66,acres,Coosa River /end of embayment,2010,L,2018,,,,
AL03150106-0808-111,Kelly Creek (Lay Lake),L,Coosa,St. Clair,Public Water Supply SwimmingFish & Wildlife,Priority Organics (PCBs),Contaminated sediments,6.49,acres,Coosa River /end of embayment,1996,*,2018,,,,
AL03150106-0808-111,Kelly Creek (Lay Lake),L,Coosa,St. Clair,Public Water Supply SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,6.49,acres,Coosa River /end of embayment,2010,L,2018,,,,
AL03150107-0405-100,Buxahatchee Creek,R,Coosa,ChiltonShelby,Fish & Wildlife,Pathogens (E. coli),Collection system failureMunicipal,14.00,miles,Waxahatchee Creek /its source,2016,L,2018,,,,
AL03150107-0801-100,Yellow Leaf Creek,R,Coosa,Chilton,Fish & Wildlife,Siltation,Agriculture,31.27,miles,Mitchell Lake /its source,2010,L,2018,,,,
AL03150107-0802-110,Walnut Creek,R,Coosa,Chilton,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,15.66,miles,Mitchell Lake /its source,2018,L,2018,,,,
AL03150107-0304-700,UT to Dry Branch,R,Coosa,Shelby,Fish & Wildlife,Nutrients,MunicipalUrban runoff/storm sewers,1.58,miles,Dry Branch /its source,1996,L,2018,,,,
AL03140301-0403-100,Feagin Creek,R,Escambia,Covington,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,7.76,miles,Gantt Lake /its source,2018,L,2018,,,,
AL03140301-0404-111,Conecuh River(Gantt Lake),L,Escambia,Covington,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,1817.43,acres,Gantt Dam /extent of reservoir,2010,L,2018,,,,
AL03140301-0405-101,Conecuh River(Point A Lake),L,Escambia,Covington,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,610.56,acres,Point A Dam /extent of reservoir,2010,L,2018,,,,
AL03140302-0506-101,Patsaliga Creek(Point A Lake),L,Escambia,Covington,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,154.43,acres,Conecuh River /Buck Creek,2010,L,2018,,,,
AL03140304-0506-300,Jernigan Mill Creek,R,Escambia,Escambia,Fish & Wildlife,Pathogens (E. coli),On-site wastewater systemsPasture grazing,7.64,miles,Conecuh River /its source,2018,L,2018,,,,
AL03140303-0704-100,Sepulga River,R,Escambia,Conecuh,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,14.48,miles,Conecuh River /Robinson Mill Creek,2010,L,2018,,,,
AL03140304-0106-200,Sandy Creek,R,Escambia,Conecuh,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,5.76,miles,Mill Creek /its source,2018,L,2018,,,,
AL03140304-0506-100,Conecuh River,R,Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,12.70,miles,AL-FL state line /Mantle Branch,2004,L,2018,,,,
AL03140304-0404-101,Murder Creek,R,Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,8.45,miles,Conecuh River /Cedar Creek,2014,L,2018,,,,
AL03140304-0404-200,Franklin Mill Creek,R,Escambia,Escambia,Fish & Wildlife,Pathogens (E. coli),Pasture grazing,6.60,miles,Murder Creek /its source,2018,L,2018,,,,
AL03140304-0305-101,Burnt Corn Creek,R,Escambia,Escambia,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,5.03,miles,Murder Creek /Sevenmile Creek,2010,L,2018,,,,
AL03140304-0605-100,Little Escambia Creek,R,Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,12.21,miles,AL-FL state line /Wild Fork Creek,2004,L,2018,,,,
AL03140305-0102-100,Sizemore Creek,R,Escambia,Escambia,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,14.28,miles,Big Escambia Creek /its source,2018,L,2018,,,,
AL03140305-0302-100,Big Escambia Creek,R,Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,17.03,miles,AL-FL state line /Big Spring Creek,2004,L,2018,,,,
AL03170008-0402-110,Escatawpa River,R,Escatawpa,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,70.66,miles,AL-MS state line /its source,2002,L,2018,,,,
AL03170008-0502-110,Big Creek(Big Creek Lake),L,Escatawpa,Mobile,Public Water SupplyFish & Wildlife,Metals (Mercury),Atmospheric deposition,2724.87,acres,Big Creek Lake dam /Collins Creek,2008,L,2018,,,,
AL03170008-0502-211,Hamilton Creek(Big Creek Lake),L,Escatawpa,Mobile,Public Water SupplyFish & Wildlife,Metals (Mercury),Atmospheric deposition,583.14,acres,Big Creek /end of embayment,2008,L,2018,,,,
AL03170008-0502-600,Boggy Branch,R,Escatawpa,Mobile,Fish & Wildlife,Metals (Iron),NaturalWet weather discharge,3.62,miles,Big Creek Lake /its source,1998,L,2018,,,,
AL03170008-0502-600,Boggy Branch,R,Escatawpa,Mobile,Fish & Wildlife,Metals (Lead),NaturalWet weather discharge,3.62,miles,Big Creek Lake /its source,1998,L,2018,,,,
AL03170008-0502-800,Collins Creek,R,Escatawpa,Mobile,Fish & Wildlife,Metals (Arsenic),Unknown source,5.15,miles,Big Creek /its source,2006,M,2018,,,,
AL03170009-0201-100,Mississippi Sound,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Metals (Thallium),Industrial,60556.80,acres,Segment classified for shellfish harvesting,2010,L,2018,,,,
AL03170009-0201-100,Mississippi Sound,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),Urban runoff/storm sewers,60556.80,acres,Segment classified for shellfish harvesting,1998,L,2018,,,,
AL03170009-0201-200,Portersville Bay,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),Municipal,12038.40,acres,Portersville Bay,1998,L,2018,,,,
AL03170009-0201-300,Grand Bay,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),On-site wastewater systems,19667.20,acres,Grand Bay,2006,L,2018,,,,
AL03160204-0403-112,Mobile River,R,Mobile,BaldwinMobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,20.90,miles,Spanish River /Cold Creek,2000,L,2018,,,,
AL03160204-0106-112,Mobile River,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,2.37,miles,Cold Creek /Barry Steam Plant,2014,L,2018,,,,
AL03160204-0103-100,Mobile River,R,Mobile,BaldwinMobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,5.72,miles,Tensaw River /its source,2014,L,2018,,,,
AL03160204-0105-111,Cold Creek,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Contaminated sediments,4.21,miles,Mobile River /Dam 1 1/2 miles west of US Highway 43,1996,L,2018,,,,
AL03160204-0305-101,Chickasaw Creek,R,Mobile,Mobile,Limited Warmwater Fishery,Metals (Mercury),Atmospheric deposition,4.43,miles,Mobile River /US Highway 43,2000,L,2018,,,,
AL03160204-0305-102,Chickasaw Creek,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,6.64,miles,US Highway 43 /Mobile College,2000,L,2018,,,,
AL03160204-0303-100,Chickasaw Creek,R,Mobile,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,26.82,miles,Mobile College /its source,2000,L,2018,,,,
AL03160204-0503-102,Bay Minette Creek,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,18.15,miles,Bay Minette /its source,2014,L,2018,,,,
AL03160204-0504-300,Toulmins Spring Branch,R,Mobile,Mobile,Fish & Wildlife,Nutrients,Urban runoff/storm sewers,3.22,miles,Threemile Creek /its source,2008,L,2018,,,,
AL03160204-0504-500,UT to Threemile Creek,R,Mobile,Mobile,Fish & Wildlife,Nutrients,Urban runoff/storm sewers,1.04,miles,Threemile Creek /its source,2008,L,2018,,,,
AL03160204-0505-202,Tensaw River,R,Mobile,Baldwin,Outstanding Alabama Water SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,21.73,miles,Junction of Tensaw andApalachee Rivers / Junction of Briar Lake,2002,L,2018,,,,
AL03160204-0505-501,D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,0.51,miles,D'Olive Bay /Lake Forest dam,2008,M,2018,,,,
AL03160204-0505-502,D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,4.57,miles,Lake Forest dam /its source,2008,M,2018,,,,
AL03160204-0505-502,D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Pathogens (E. coli),Collection system failureUrban runoff/storm sewers,4.57,miles,Lake Forest dam /its source,2018,L,2018,,,,
AL03160204-0505-800,Joes Branch,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,1.57,miles,D'Olive Creek /its source,2008,M,2018,,,,
AL03160204-0505-900,Tiawasee Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,3.54,miles,D'Olive Creek /its source,2008,M,2018,,,,
AL03160204-0505-905,UT to Tiawasee Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,1.87,miles,Tiawasee Creek /its source,2008,M,2018,,,,
AL03160204-0505-505,UT to D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation,Land development,1.22,miles,D'Olive Creek /its source,2008,M,2018,,,,
AL03160204-0202-200,Middle River,R,Mobile,BaldwinMobile,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,9.72,miles,Tensaw River (RM 20.6) /Tensaw River (RM 37.7),2014,L,2018,,,,
AL03160204-0202-300,Mifflin Lake,E,Mobile,Baldwin,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,467.20,acres,Tensaw River /its source,2014,L,2018,,,,
AL03160205-0203-110,Magnolia River,R,Mobile,Baldwin,Outstanding Alabama Water SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,12.41,miles,Weeks Bay / its source,2014,L,2018,,,,
AL03160205-0204-402,Turkey Branch,R,Mobile,Baldwin,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,5.16,miles,Baldwin CR 181 /its source,2018,L,2018,,,,
AL03160205-0300-102,Mobile Bay,E,Mobile,Mobile,Shellfish Harvesting Fish & Wildlife,Pathogens (Enterococcus),Urban runoff/storm sewers,107705.60,acres,"Mobile Bay south of a line extending east from East Fowl River to lighted beacon FL2 and then to lighted beacon FLG 4 and then northeast to Daphne, except out 1000 feet offshore from Mullet Point to Ragged Point",1998,L,2018,,,,
AL03160205-0300-202,Bon Secour Bay,E,Mobile,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),On-site wastewater systems Urban runoff/storm sewers,65894.40,acres,"Bon Secour Bay east and south of a line from Mullet Point to Engineers Point, except out 1000 feet offshore from Fish RiverPoint to Mullet Point",1998,L,2018,,,,
AL03160205-0102-110,Halls Mill Creek,R,Mobile,Mobile,Fish & Wildlife,Siltation,Land development,11.30,miles,Dog River /its source,2012,L,2018,,,,
AL03160205-0105-100,Deer River,R,Mobile,Mobile,Fish & Wildlife,Organic enrichment(BOD),Collection system failureUrban runoff/storm sewers,1.02,miles,Mobile Bay /its source,2006,L,2018,,,,
AL03160205-0105-300,Middle Fork Deer River,R,Mobile,Mobile,Fish & Wildlife,Organic enrichment(BOD),Collection system failureUrban runoff/storm sewers,2.47,miles,Deer River /its source,2006,L,2018,,,,
AL03160205-0104-110,Fowl River,R,Mobile,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,20.56,miles,Mobile Bay /its source,2000,L,2018,,,,
AL03160205-0202-210,Polecat Creek,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,7.89,miles,Fish River /its source,2006,L,2018,,,,
AL03160205-0202-510,Baker Branch,R,Mobile,Baldwin,Fish & Wildlife,Organic enrichment(BOD),Pasture grazing,6.15,miles,Polecat Creek /its source,2006,L,2018,,,,
AL03160205-0204-112,Fish River,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,30.01,miles,Weeks Bay /its source,1998,L,2018,,,,
AL03160205-0204-700,Cowpen Creek,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,7.12,miles,Fish River /its source,2008,L,2018,,,,
AL03160205-0205-702,Fly Creek,R,Mobile,Baldwin,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,3.32,miles,10 feet above MSL /its source,2018,L,2018,,,,
AL03160205-0206-101,Bon Secour River,R,Mobile,Baldwin,Swimming  Fish & Wildlife,Metals (Mercury),Atmospheric deposition,9.12,miles,Bon Secour Bay /One mile upstream from first bridge above its mouth,2006,L,2018,,,,
AL03160205-0206-102,Bon Secour River,R,Mobile,Baldwin,Swimming  Fish & Wildlife,Metals (Mercury),Atmospheric deposition,4.38,miles,One mile upstream from first bridge above its mouth /its source,2006,L,2018,,,,
AL03160205-0206-102,Bon Secour River,R,Mobile,Baldwin,Swimming  Fish & Wildlife,Pathogens (E. coli),Pasture grazing,4.38,miles,One mile upstream from first bridge above its mouth /its source,2018,L,2018,,,,
AL03160205-0208-100,Oyster Bay,E,Mobile,Baldwin,Shellfish HarvestingFish & Wildlife,Pathogens (Enterococcus),Unknown source,608.00,acres,Oyster Bay,2006,L,2018,,,,
AL-Gulf-of-Mexico-1,Gulf of Mexico,E,Mobile,Baldwin Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,131692.80,acres,Mississippi / Florida,1998,L,2018,,,,
AL-Gulf-of-Mexico-2,Pelican Bay,E,Mobile,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,320.00,acres,out to 1000 feet offshore from Dauphin Beach /out to 1000 feet offshore ofPelican Point,1998,L,2018,,,,
AL-Gulf-of-Mexico-2,Pelican Bay,E,Mobile,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),Unknown source,320.00,acres,out to 1000 feet offshore from Dauphin Beach /out to 1000 feet offshore ofPelican Point,2018,L,2018,,,,
AL03140106-0203-100,Dyas Creek,R,Perdido,Baldwin,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,18.34,miles,Perdido River /its source,2018,L,2018,,,,
AL03140106-0302-101,Brushy Creek,R,Perdido,Escambia,Fish & Wildlife,Metals (Lead),IndustrialMunicipal,0.22,miles,AL-FL state line /Boggy Branch,2006,L,2018,,,,
AL03140106-0302-201,Boggy Branch,R,Perdido,Escambia,Fish & Wildlife,Metals (Mercury),IndustrialMunicipal,1.59,miles,Brushy Creek /Atmore WWTP,2008,L,2018,,,,
AL03140106-0302-202,Boggy Branch,R,Perdido,Escambia,Fish & Wildlife,Pathogens (E. coli),Collection system failureUrban runoff/storm sewers,0.14,miles,Atmore WWTP /Masland Carpets WWTP,2016,L,2018,,,,
AL03140106-0302-203,Boggy Branch,R,Perdido,Escambia,Fish & Wildlife,Metals (Lead),Urban runoff/storm sewers,0.95,miles,Masland Carpets WWTP /its source,2016,L,2018,,,,
AL03140106-0302-203,Boggy Branch,R,Perdido,Escambia,Fish & Wildlife,Pathogens (E. coli),Collection system failureUrban runoff/storm sewers,0.95,miles,Masland Carpets WWTP /its source,2016,L,2018,,,,
AL03140106-0507-100,Styx River,R,Perdido,Baldwin,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,18.52,miles,Perdido River /Hollinger Creek,2002,L,2018,,,,
AL03140106-0603-101,Blackwater River,R,Perdido,Baldwin,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,3.11,miles,Perdido River /Narrow Gap Creek,2004,L,2018,,,,
AL03140106-0703-100,Perdido River,R,Perdido,Baldwin,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,21.93,miles,Perdido Bay /Jacks Branch,2006,L,2018,,,,
AL03140107-0204-302,Perdido Bay,E,Perdido,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens (Enterococcus),Collection system failure On-site wastewater systems,825.60,acres,Suarez Point / Lillian Bridge,2012,L,2018,,,,
AL03140107-0103-100,Perdido Bay,E,Perdido,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,2694.40,acres,Lillian Bridge / its source,2016,L,2018,,,,
AL03150108-0405-102,Tallapoosa River,R,Tallapoosa,Cleburne,Outstanding Alabama WaterFish & Wildlife,Pathogens (E. coli),Pasture grazingSources outside state,31.60,miles,Cane Creek /AL-GA state line,2016,L,2018,,,,
AL03150109-0105-102,Tallapoosa River(R L Harris Lake),L,Tallapoosa,Randolph,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,5356.95,acres,R L Harris dam /Little Tallapoosa River,2018,L,2018,,,,
AL03150109-0303-100,High Pine Creek,R,Tallapoosa,RandolphChambers,Fish & Wildlife,Pathogens (E. coli),Collection system failurePasture grazing,13.74,miles,Tallapoosa River /Highway 431,2018,L,2018,,,,
AL03150109-0308-100,Emuckfaw Creek,R,Tallapoosa,ClayTallapoosa,Fish & Wildlife,Pathogens (E. coli),Animal feeding operationsPasture grazing,23.51,miles,Tallapoosa River /its source,2018,L,2018,,,,
AL03150109-0803-301,Sugar Creek(Lake Martin),L,Tallapoosa,Tallapoosa,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,58.93,acres,Elkahatchee Creek /end of embayment,2012,L,2018,,,,
AL03150110-0104-104,Sougahatchee Creek,R,Tallapoosa,Lee MaconTallapoosa,Fish & Wildlife,Pathogens (E. coli),Collection system failure Pasture grazing,33.42,miles,Sycamore Creek / Sougahatchee Lake dam,2018,L,2018,,,,
AL03150110-0104-101,Sougahatchee Creek (Yates Lake),L,Tallapoosa,Tallapoosa,Public Water Supply SwimmingFish & Wildlife,Metals (Mercury),Atmospheric deposition,203.78,acres,Tallapoosa River / end of embayment,2016,L,2018,,,,
AL03150110-0402-101,Channahatchee Creek (Yates Lake),L,Tallapoosa,Elmore,Public Water Supply SwimmingFish & Wildlife,Organic enrichment(BOD),Nonpoint source runoff,62.63,acres,Tallapoosa River / end of embayment,2012,L,2018,,,,
